4.088325737047739383e-01 4.084658463830278530e-01 4.082144555480046177e-01 3.940764075426226309e-01 3.953087733608368626e-01 3.986654353201604106e-01 3.985712992449247372e-01 3.861300786752920877e-01 4.038854436693568029e-01 3.982444430637158694e-01
4.361202634125455613e-01 4.466134087233071814e-01 4.261546558727197231e-01 4.357200588023076304e-01 4.373678197509657251e-01 4.342599255059645946e-01 4.496950238941128108e-01 4.414021258244641421e-01 4.353797457016000405e-01 4.460316618759133656e-01
4.921053367022432679e-01 4.853632565311767344e-01 4.790099222187756967e-01 4.824207238238929496e-01 4.892844182404376130e-01 4.960330577256387707e-01 4.837185406901959861e-01 5.013767544669665011e-01 4.860317665231820294e-01 4.833207899518625617e-01
5.148013717476073170e-01 5.193875228552810031e-01 5.074072938629727858e-01 5.177762227525530836e-01 5.306096240888973359e-01 5.146798653976060178e-01 5.228072986573535363e-01 5.171817128823513743e-01 5.188270176513517518e-01 5.251171999954886704e-01
5.536393287086405213e-01 5.496106335738180082e-01 5.462924144737079102e-01 5.394188064634535262e-01 5.539445303093433193e-01 5.499478446614819438e-01 5.422257228992134470e-01 5.348756917412076373e-01 5.422496256620983335e-01 5.461056323521437106e-01
5.770553651706250564e-01 5.643421985200463009e-01 5.616214303863251711e-01 5.727001524901854657e-01 5.601893722922827168e-01 5.545546734340276451e-01 5.711034661339042806e-01 5.717964764444841697e-01 5.701644256774893726e-01 5.703549407689595396e-01
5.730284530792691955e-01 5.820588393215048173e-01 5.700617408495941563e-01 5.943202387334400871e-01 5.826558863391759768e-01 5.702866949023694954e-01 5.782405247981905472e-01 5.816942498420459851e-01 5.835750040398018923e-01 5.820486625326021235e-01
5.907054308013324206e-01 5.972568141663405772e-01 5.808547278511740908e-01 5.921404347633429932e-01 5.893598078890449621e-01 5.877753719061539206e-01 5.867446088314060004e-01 5.789728307479402591e-01 5.833620727280945939e-01 5.879112778178919863e-01
5.936750548950160411e-01 5.965000610821276084e-01 5.923718524307041156e-01 5.901246032389610985e-01 5.967954553016294739e-01 5.894524647651875338e-01 5.904301788052298550e-01 5.945839011764928461e-01 5.969525477577322103e-01 5.904733167073350497e-01
5.893313454493618320e-01 5.862806535133446850e-01 6.020143440418032066e-01 5.893917023752177631e-01 5.930978332079750448e-01 5.907451076524179445e-01 5.927024536394326359e-01 5.997644330560115700e-01 5.992213334347002984e-01 6.045261994809412176e-01
